Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],d you want to make another road,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make another road,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],she going make another road Celia,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],she going make another road Celia,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],she going make a road,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make a road,road,object,road,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],no make a story,story,object,story,object,object,?,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],I going make a dog,trailer,object,trailer,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],I going make a trailer I think,trailer,object,trailer,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],I going make a trailer,trailer,object,trailer,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],le me make a trailer,trailer,object,trailer,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make that one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make another one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make another one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],no let's make a,,,,,0,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],let's make a,,,,,0,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I making a tall tall building,building,object,building,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I have_to make a chimney house,chimney,object,chimney house,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],no you can't make a chimney house,chimney,object,chimney house,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],you don't make a chimney house,chimney,object,chimney house,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I don't make a chimney house,chimney,object,chimney house,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I don't make a chimney house,chimney,object,chimney house,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I need some make ear dere there,ear,object,ear,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I making a big I painting a truck,truck,object,truck,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],yep I making my truck painting,truck,object,truck,object,object,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],o it's making a big one oo,one,pronoun,one,pronoun,pronoun,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I can make a,,,,,0,,,
Brown,adam21.xml,['Adam'],make|makes|making|maked,['P3Y0M25D'],I don't want to make it bigger,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I goin make you drive on it in a few minutes,drive,event,drive,event,event,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I goin make you drive on it,drive,event,drive,event,event,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],it's make a loud noise,noise,event,noise,event,event,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],it's make me sneeze,sneeze,event,sneeze,event,event,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make d,d,object,d,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],an make a egg,egg,object,egg,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I goin buy I going make a fat lady,lady,object,lady,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make a fat lady this time,lady,object,lady,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make a top xxx you a letter,letter,object,letter,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],dat that thing open for me to make a nesess,nesess,object,nesess,object,object,?,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],no I make a kind o,o,object,o,object,object,?,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make a pretty picture,picture,object,picture,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],we make the picture an park in the yard,picture,object,picture,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make s,s ,object,s ,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make s,s ,object,s ,object,object,?,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make x I going make Judy from you,x/Judy,object,x/Judy,object,object,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I goin make another one for you you can drive on it,one,pronoun,one,pronoun,pronoun,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make it all fix,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],how to make it,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],Mommy what you make it,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],you want to make it,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],Mommy make it,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I goin make it like a rocket to blast off with,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],an make a,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],yeah make a re,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],fold it with that and make a  and open with the,,,,,0,,,
Brown,adam22.xml,['Adam'],make|makes|making|maked,['P3Y1M9D'],I going make a make,,,make,,0,?,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],we can't make another b,b,object,b,object,object,?,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I goin make a cross,cross,object,cross,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],let me make drum like a feet,drum,object,drum,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I goin make a fish over here,fish,object,fish,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I going make some groceries,grocery,object,groceries,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],what I make a hole,hole,object,hole,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],you make a hole,hole,object,hole,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I goin make a picture on my arm,picture,object,picture,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I going make a road,road,object,road,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I going make the table on the floor,table,object,table,object,object,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I goin make a tree down dere there,tree,object,tree,object,object,,,
